LDO OKX Price in UDDT,OKX Timestamp (ms),LDO Binance Price in USDT,Binance Timestamp (ms),Time Difference (ms),Price Difference (USDT),Net Arbitrage Profit (USDT)
2.154,1700224991726,2.156,1700224991728,2,0.002000000000000224,0.001956900000000224
2.148,1700224851142,2.15,1700224851138,4,0.0019999999999997797,0.0019570199999997795
2.148,1700224851118,2.15,1700224851117,1,0.0019999999999997797,0.0019570199999997795
2.148,1700224754589,2.15,1700224754589,0,0.0019999999999997797,0.0019570199999997795
2.148,1700224754582,2.15,1700224754582,0,0.0019999999999997797,0.0019570199999997795
2.148,1700224754581,2.15,1700224754581,0,0.0019999999999997797,0.0019570199999997795
2.147,1700224643865,2.148,1700224643865,0,0.001000000000000334,0.0009570500000003339
2.147,1700224643865,2.148,1700224643865,0,0.001000000000000334,0.0009570500000003339
2.147,1700224643865,2.148,1700224643865,0,0.001000000000000334,0.0009570500000003339
2.146,1700224637309,2.148,1700224637314,5,0.002000000000000224,0.001957060000000224
2.146,1700224637309,2.148,1700224637314,5,0.002000000000000224,0.001957060000000224
2.145,1700224625220,2.146,1700224625217,3,0.0009999999999998899,0.0009570899999998899
2.145,1700224625219,2.146,1700224625217,2,0.0009999999999998899,0.0009570899999998899
2.148,1700224579270,2.15,1700224579271,1,0.0019999999999997797,0.0019570199999997795
