OKX Price,OKX Timestamp,Binance Price,Binance Timestamp
2.25,1700169853442,2.25,1700169853416
2.253,1700169821976,2.251,1700169821562
2.253,1700169780409,2.253,1700169780388
2.253,1700169780409,2.253,1700169780388
2.253,1700169780409,2.253,1700169780388
2.253,1700169780406,2.253,1700169780388
2.253,1700169780406,2.253,1700169780388
2.253,1700169751313,2.253,1700169751290
2.252,1700169743116,2.252,1700169743092
2.255,1700169731201,2.254,1700169731799
2.255,1700169731201,2.254,1700169731799
2.254,1700169727090,2.252,1700169725370
2.247,1700169636139,2.247,1700169633223
2.247,1700169631257,2.247,1700169631241
2.25,1700169615712,2.25,1700169614452
2.249,1700169612112,2.249,1700169614439
2.249,1700169612112,2.249,1700169614439
2.242,1700169513227,2.241,1700169513199
2.242,1700169507934,2.242,1700169507849
2.243,1700169494646,2.243,1700169498963
2.244,1700169469144,2.243,1700169468467
2.244,1700169462014,2.244,1700169461972
2.245,1700169453479,2.245,1700169453450
2.246,1700169452979,2.245,1700169453450
2.247,1700169446357,2.246,1700169446341
2.248,1700169444414,2.248,1700169444366
2.248,1700169435594,2.248,1700169434950
2.251,1700169420839,2.25,1700169420761
2.251,1700169420839,2.25,1700169420761
2.251,1700169420839,2.25,1700169420761
2.251,1700169414374,2.251,1700169414344
2.252,1700169408387,2.25,1700169406146
2.252,1700169408387,2.25,1700169406146
2.251,1700169406174,2.25,1700169406146
2.251,1700169406174,2.25,1700169406146
2.25,1700169398914,2.25,1700169400794
2.249,1700169396344,2.25,1700169400794
2.248,1700169390256,2.249,1700169389667
2.249,1700169389712,2.249,1700169389667
2.25,1700169386422,2.249,1700169389667
2.25,1700169386422,2.249,1700169389667
2.25,1700169386422,2.249,1700169389667
2.249,1700169386117,2.249,1700169382595
2.248,1700169383155,2.249,1700169382595
2.25,1700169377568,2.25,1700169379120
2.25,1700169377568,2.25,1700169379120
2.249,1700169376537,2.249,1700169375354
2.249,1700169375370,2.249,1700169375354
2.249,1700169375370,2.249,1700169375354
2.249,1700169375370,2.249,1700169375354
2.249,1700169375370,2.249,1700169375354
2.248,1700169358452,2.248,1700169358495
2.248,1700169357869,2.249,1700169357864
2.248,1700169357869,2.249,1700169357864
2.247,1700169357415,2.248,1700169357429
2.247,1700169357415,2.248,1700169357429
2.246,1700169357372,2.247,1700169357387
2.246,1700169357372,2.247,1700169357387
2.246,1700169357372,2.247,1700169357387
2.245,1700169357046,2.245,1700169356937
2.245,1700169357046,2.245,1700169356937
2.244,1700169356733,2.245,1700169356937
2.244,1700169356733,2.245,1700169356937
2.244,1700169356729,2.245,1700169356937
2.244,1700169356729,2.245,1700169356937
2.243,1700169356228,2.244,1700169356085
2.243,1700169356126,2.244,1700169356085
2.242,1700169355443,2.243,1700169355413
2.241,1700169351131,2.242,1700169351109
2.24,1700169351046,2.242,1700169351064
2.239,1700169342779,2.239,1700169342497
2.239,1700169342520,2.239,1700169342497
2.239,1700169342520,2.239,1700169342497
2.238,1700169342450,2.239,1700169342456
2.238,1700169340867,2.239,1700169341179
2.237,1700169338657,2.238,1700169338687
2.239,1700169324434,2.239,1700169324433
2.239,1700169324434,2.239,1700169324433
2.24,1700169323357,2.24,1700169323345
2.242,1700169311273,2.242,1700169311244
2.241,1700169307708,2.241,1700169307681
2.241,1700169303570,2.241,1700169303556
2.241,1700169303570,2.241,1700169303556
2.242,1700169303015,2.241,1700169302967
2.241,1700169298595,2.241,1700169298568
2.241,1700169297307,2.241,1700169297277
2.241,1700169291000,2.241,1700169286959
2.241,1700169291000,2.241,1700169286959
2.24,1700169286258,2.241,1700169286959
2.242,1700169283092,2.242,1700169283072
2.242,1700169276346,2.243,1700169276154
2.244,1700169270262,2.244,1700169270291
2.244,1700169264395,2.243,1700169261607
2.243,1700169261628,2.243,1700169261607
2.243,1700169261628,2.243,1700169261607
2.243,1700169261628,2.243,1700169261607
2.243,1700169261428,2.243,1700169261607
2.245,1700169253910,2.245,1700169253448
2.244,1700169250436,2.244,1700169250381
2.243,1700169246094,2.243,1700169246069
2.243,1700169246094,2.243,1700169246069
2.243,1700169236885,2.243,1700169237022
2.242,1700169232742,2.242,1700169232716
2.242,1700169232742,2.242,1700169232716
2.242,1700169231999,2.242,1700169231961
2.243,1700169228377,2.243,1700169228350
2.242,1700169207335,2.242,1700169207283
2.244,1700169190297,2.243,1700169190265
2.244,1700169190297,2.243,1700169190265
2.243,1700169190292,2.243,1700169190265
2.243,1700169190292,2.243,1700169190265
2.242,1700169189261,2.242,1700169189241
2.242,1700169189261,2.242,1700169189241
2.242,1700169189261,2.242,1700169189241
2.241,1700169189221,2.242,1700169189236
2.24,1700169185514,2.241,1700169185557
2.24,1700169185514,2.241,1700169185557
2.24,1700169185514,2.241,1700169185557
2.24,1700169183862,2.24,1700169183772
2.24,1700169183862,2.24,1700169183772
2.24,1700169183842,2.24,1700169183772
2.24,1700169183842,2.24,1700169183772
2.24,1700169183820,2.24,1700169183772
2.24,1700169168715,2.24,1700169168698
2.242,1700169163632,2.242,1700169163655
2.243,1700169160744,2.243,1700169160759
2.243,1700169158246,2.244,1700169158215
2.244,1700169152881,2.244,1700169153304
2.244,1700169148313,2.244,1700169148276
2.244,1700169139819,2.244,1700169139748
2.243,1700169138920,2.244,1700169139204
2.242,1700169136441,2.243,1700169136465
2.241,1700169131095,2.241,1700169128565
2.241,1700169131074,2.241,1700169128565
2.241,1700169130362,2.241,1700169128565
2.241,1700169128592,2.241,1700169128565
2.241,1700169126916,2.241,1700169126839
2.241,1700169126857,2.241,1700169126839
2.241,1700169126857,2.241,1700169126839
2.241,1700169126857,2.241,1700169126839
2.24,1700169125245,2.241,1700169125230
2.24,1700169125181,2.24,1700169125201
2.24,1700169125181,2.24,1700169125201
2.24,1700169125181,2.24,1700169125201
2.239,1700169124535,2.24,1700169124494
2.239,1700169124510,2.24,1700169124494
